2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ZRX:0.152, STORJ:0.127, IOST:0.112, BCH:0.109, IOTA:-0.106, RSR:-0.111, GRT:-0.133, AVAX:-0.150
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BNB:0.135, AXS:0.132, FIL:0.125, ETC:0.107, DOGE:-0.100, AVAX:-0.114, NEAR:-0.118, ICX:-0.168
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AXS:0.181, FIL:0.160, STORJ:0.094, BCH:0.065, SXP:-0.120, RSR:-0.123, AVAX:-0.124, TRB:-0.132
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ICX:0.167, GRT:0.134, KAVA:0.113, THETA:0.086, XMR:-0.000, BTC:-0.000, BAND:-0.000, AXS:-0.500
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> KSM:0.232, IOTA:0.099, ATOM:0.099, NEAR:0.071, SOL:-0.092, CRV:-0.095, LTC:-0.101, ZIL:-0.212
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.500, ETH:0.000, ATOM:0.000, KAVA:0.000, ONT:-0.113, RUNE:-0.120, ICX:-0.124, BAND:-0.144
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> KSM:0.216, ZEN:0.139, LRC:0.073, NEAR:0.072, AXS:-0.097, SKL:-0.100, AVAX:-0.139, SUSHI:-0.165
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AVAX:0.143, IOST:0.124, ALGO:0.120, RLC:0.113, ONT:-0.035, BTC:-0.074, DOGE:-0.097, ZEN:-0.295
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> GRT:0.189, NEAR:0.119, SXP:0.098, EGLD:0.094, ICX:-0.057, KSM:-0.064, DASH:-0.096, IOST:-0.283
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DASH:0.289, SXP:0.081, DOGE:0.081, VET:0.049, ATOM:-0.106, RLC:-0.112, AVAX:-0.128, ICX:-0.155
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> IOST:0.196, BNB:0.115, SXP:0.102, ICX:0.087, 1INCH:-0.113, RSR:-0.113, AVAX:-0.130, DOGE:-0.143
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SOL:0.161, RLC:0.141, FLM:0.106, NEO:0.092, CRV:-0.076, LTC:-0.090, SUSHI:-0.161, UNI:-0.174
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> FIL:0.180, DOT:0.135, KSM:0.094, ATOM:0.092, DASH:-0.078, ALPHA:-0.088, TRX:-0.089, BNB:-0.245
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BAND:0.136, DOT:0.133, ALGO:0.117, ONT:0.115, ZRX:-0.087, SUSHI:-0.101, EGLD:-0.110, ALPHA:-0.202
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BNB:0.266, UNI:0.121, RUNE:0.067, THETA:0.046, ONT:-0.113, SKL:-0.121, TRB:-0.121, AXS:-0.145
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AXS:0.148, SOL:0.140, FIL:0.131, UNI:0.081, SXP:-0.113, NEO:-0.122, DASH:-0.132, RSR:-0.134
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> KSM:0.153, EGLD:0.135, ALPHA:0.108, ZRX:0.104, LINK:-0.115, SUSHI:-0.123, LRC:-0.126, FLM:-0.135
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> COMP:0.200, XRP:0.154, SUSHI:0.075, ICX:0.071, ZIL:-0.114, IOST:-0.121, FLM:-0.132, ALPHA:-0.133
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ZRX:0.224, SOL:0.187, ATOM:0.087, SUSHI:0.002, XTZ:-0.121, AVAX:-0.123, KSM:-0.125, IOST:-0.131
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SOL:0.161, RUNE:0.125, SNX:0.120, LINK:0.094, DOGE:-0.077, BCH:-0.085, LRC:-0.160, SKL:-0.178
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> RSR:0.167, RUNE:0.155, SXP:0.090, ZIL:0.088, BTC:-0.000, XTZ:-0.000, ADA:-0.000, ATOM:-0.500
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> STORJ:0.182, SOL:0.131, ALPHA:0.109, ZIL:0.078, BAT:-0.094, SXP:-0.109, DOGE:-0.110, ICX:-0.186
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ALPHA:0.169, BEL:0.129, ENJ:0.112, NEAR:0.090, XMR:-0.125, FIL:-0.125, ATOM:-0.125, SOL:-0.125
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> TRB:0.165, LTC:0.115, NEAR:0.111, ENJ:0.109, SNX:-0.000, EGLD:-0.000, COMP:-0.000, SOL:-0.500
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> XMR:0.125, FIL:0.125, BTC:0.125, ETH:0.125, KNC:-0.118, SXP:-0.118, IOST:-0.120, NEAR:-0.144
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AXS:0.174, NEAR:0.118, SKL:0.113, XTZ:0.095, NEO:-0.103, IOST:-0.126, 1INCH:-0.131, ENJ:-0.141
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> QTUM:0.141, 1INCH:0.129, SUSHI:0.116, DOT:0.115, DOGE:-0.125, BCH:-0.125, FIL:-0.125, ADA:-0.125
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SKL:0.147, EGLD:0.125, XLM:0.115, IOTA:0.113, RSR:-0.000, ENJ:-0.000, AXS:-0.249, ADA:-0.251
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> STORJ:0.415, FIL:0.062, UNI:0.023, KSM:0.000, KNC:-0.100, 1INCH:-0.102, CRV:-0.144, SUSHI:-0.154
2025-10-09 15:28:19 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> XMR:0.416, STORJ:0.048, AAVE:0.025, ALPHA:0.012, NEAR:-0.105, AXS:-0.107, ICX:-0.112, BEL:-0.176
