datetime,symbol,size,price,market_value,weight
2021-01-04T00:00:00,KNC,0,0.84813,0.0,0.0
2021-01-04T00:00:00,KSM,0,72.588,0.0,0.0
2021-01-04T00:00:00,LINK,0,14.389,0.0,0.0
2021-01-04T00:00:00,LRC,0,0.25723,0.0,0.0
2021-01-04T00:00:00,LTC,0,159.68,0.0,0.0
2021-01-04T00:00:00,NEAR,0,1.4812,0.0,0.0
2021-01-04T00:00:00,NEO,0,16.682,0.0,0.0
2021-01-04T00:00:00,ONT,0,0.5177,0.0,0.0
2021-01-04T00:00:00,QTUM,0,2.52,0.0,0.0
2021-01-04T00:00:00,RLC,0,0.8091,0.0,0.0
2021-01-04T00:00:00,RSR,0,0.034327,0.0,0.0
2021-01-04T00:00:00,RUNE,0,1.4987,0.0,0.0
2021-01-04T00:00:00,SKL,0,0.08736,0.0,0.0
2021-01-04T00:00:00,SNX,0,9.909,0.0,0.0
2021-01-04T00:00:00,SOL,0,2.2136,0.0,0.0
2021-01-04T00:00:00,STORJ,0,0.3249,0.0,0.0
2021-01-04T00:00:00,SUSHI,0,3.6115,0.0,0.0
2021-01-04T00:00:00,SXP,0,0.8154,0.0,0.0
2021-01-04T00:00:00,THETA,0,2.1804,0.0,0.0
2021-01-04T00:00:00,TRB,0,20.27,0.0,0.0
2021-01-04T00:00:00,TRX,0,0.032,0.0,0.0
2021-01-04T00:00:00,UNI,0,5.5678,0.0,0.0
2021-01-04T00:00:00,VET,0,0.026042,0.0,0.0
2021-01-04T00:00:00,XLM,0,0.14398,0.0,0.0
2021-01-04T00:00:00,XMR,0,141.85,0.0,0.0
2021-01-04T00:00:00,XRP,0,0.2285,0.0,0.0
2021-01-04T00:00:00,XTZ,0,2.226,0.0,0.0
2021-01-04T00:00:00,YFI,21,24947.7,523901.7,0.46044439388777536
2021-01-04T00:00:00,ZEC,0,60.8,0.0,0.0
2021-01-04T00:00:00,ZEN,0,13.607,0.0,0.0
2021-01-04T00:00:00,ZIL,0,0.07074,0.0,0.0
2021-01-04T00:00:00,ZRX,0,0.4003,0.0,0.0
2021-01-05T00:00:00,1INCH,0,1.0558,0.0,0.0
2021-01-05T00:00:00,AAVE,0,116.405,0.0,0.0
2021-01-05T00:00:00,ADA,0,0.2235,0.0,0.0
2021-01-05T00:00:00,ALGO,0,0.4375,0.0,0.0
2021-01-05T00:00:00,ALPHA,0,0.26838,0.0,0.0
2021-01-05T00:00:00,ATOM,0,6.07,0.0,0.0
2021-01-05T00:00:00,AVAX,35799,3.776,135177.024,0.12022943172961885
2021-01-05T00:00:00,AXS,0,0.55605,0.0,0.0
2021-01-05T00:00:00,BAND,0,6.8204,0.0,0.0
2021-01-05T00:00:00,BAT,0,0.2215,0.0,0.0
2021-01-05T00:00:00,BCH,0,417.04,0.0,0.0
2021-01-05T00:00:00,BEL,0,0.88632,0.0,0.0
2021-01-05T00:00:00,BNB,0,40.715,0.0,0.0
2021-01-05T00:00:00,BTC,3,32496.46,97489.38,0.08670920848999361
2021-01-05T00:00:00,COMP,0,154.39,0.0,0.0
2021-01-05T00:00:00,CRV,0,0.689,0.0,0.0
2021-01-05T00:00:00,DASH,0,89.23,0.0,0.0
2021-01-05T00:00:00,DOGE,12500436,0.009832,122904.286752,0.10931378806894788
2021-01-05T00:00:00,DOT,0,9.715,0.0,0.0
2021-01-05T00:00:00,EGLD,0,31.52,0.0,0.0
2021-01-05T00:00:00,ENJ,0,0.14084,0.0,0.0
2021-01-05T00:00:00,ETC,0,7.274,0.0,0.0
2021-01-05T00:00:00,ETH,0,1098.85,0.0,0.0
2021-01-05T00:00:00,FIL,0,21.41,0.0,0.0
2021-01-05T00:00:00,FLM,0,0.1434,0.0,0.0
2021-01-05T00:00:00,GRT,413170,0.30841,127425.75970000001,0.11333528600574878
2021-01-05T00:00:00,ICX,0,0.5191,0.0,0.0
2021-01-05T00:00:00,IOST,0,0.005757,0.0,0.0
2021-01-05T00:00:00,IOTA,0,0.3392,0.0,0.0
2021-01-05T00:00:00,KAVA,0,1.4852,0.0,0.0
2021-01-05T00:00:00,KNC,0,0.83615,0.0,0.0
2021-01-05T00:00:00,KSM,0,69.6,0.0,0.0
2021-01-05T00:00:00,LINK,0,13.963,0.0,0.0
2021-01-05T00:00:00,LRC,0,0.3806,0.0,0.0
2021-01-05T00:00:00,LTC,0,158.22,0.0,0.0
2021-01-05T00:00:00,NEAR,86419,1.4203,122740.90569999999,0.10916847335157884
2021-01-05T00:00:00,NEO,0,16.339,0.0,0.0
2021-01-05T00:00:00,ONT,0,0.4965,0.0,0.0
2021-01-05T00:00:00,QTUM,0,2.583,0.0,0.0
2021-01-05T00:00:00,RLC,0,0.8154,0.0,0.0
2021-01-05T00:00:00,RSR,0,0.032846,0.0,0.0
2021-01-05T00:00:00,RUNE,0,1.615,0.0,0.0
2021-01-05T00:00:00,SKL,0,0.09498,0.0,0.0
2021-01-05T00:00:00,SNX,0,11.643,0.0,0.0
2021-01-05T00:00:00,SOL,0,2.4108,0.0,0.0
