2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ADA:0.273, SOL:0.193, UNI:0.145, 1INCH:0.079, SUSHI:0.079, ENJ:0.056, NEAR:0.052, RUNE:0.023
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SOL:0.448, ADA:0.377, KSM:0.074
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SOL:0.478, ADA:0.276, ENJ:0.070, NEAR:0.056, RSR:0.020
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ENJ:0.159, COMP:0.144, RUNE:0.125, SUSHI:0.080, NEAR:0.079, BAT:0.078, ALPHA:0.071, RSR:0.066, EGLD:0.051, ADA:0.046
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ENJ:0.199, COMP:0.091, BAT:0.089, KAVA:0.083, THETA:0.082, RSR:0.078, ADA:0.076, SNX:0.070, CRV:0.067, SKL:0.066
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ENJ:0.209, AXS:0.149, BAT:0.110, KAVA:0.078, THETA:0.072, FIL:0.062, RSR:0.061, VET:0.061, NEAR:0.051, EGLD:0.047
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ENJ:0.249, AXS:0.176, THETA:0.137, EGLD:0.060, BAT:0.055, RSR:0.052, KNC:0.047, SKL:0.046, UNI:0.044, RLC:0.034
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ENJ:0.157, SKL:0.115, AXS:0.098, THETA:0.095, VET:0.088, ALPHA:0.078, BEL:0.077, KNC:0.075, FIL:0.058, BAT:0.058
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ENJ:0.148, AXS:0.128, BEL:0.115, VET:0.099, THETA:0.086, ALPHA:0.068, RUNE:0.067, ETH:0.066, COMP:0.065, BAT:0.058
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> ENJ:0.176, AXS:0.120, UNI:0.098, YFI:0.084, RLC:0.078, THETA:0.072, VET:0.070, SKL:0.068, TRB:0.068, RSR:0.067
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> AXS:0.171, ENJ:0.168, THETA:0.099, VET:0.084, RLC:0.081, SKL:0.067, RSR:0.065, KNC:0.060, XTZ:0.056, DOGE:0.050
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> AXS:0.125, SKL:0.117, ENJ:0.098, THETA:0.097, BEL:0.090, VET:0.084, RLC:0.082, ETH:0.074, ONT:0.068, BTC:0.065
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> THETA:0.193, SKL:0.134, AXS:0.130, RLC:0.092, ENJ:0.085, KSM:0.062, BTC:0.058, SXP:0.049, BNB:0.049, ZEC:0.048
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SKL:0.178, THETA:0.092, AXS:0.089, RLC:0.086, ZIL:0.086, KSM:0.080, SXP:0.078, FLM:0.071, BTC:0.071, ZEC:0.070
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SKL:0.153, AXS:0.143, THETA:0.096, NEAR:0.091, ENJ:0.091, KAVA:0.073, KSM:0.067, LTC:0.063, BTC:0.062, RLC:0.062
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SKL:0.121, AXS:0.100, BTC:0.100, FIL:0.096, NEAR:0.096, THETA:0.086, ZIL:0.082, SUSHI:0.075, ENJ:0.073, ETC:0.071
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> AXS:0.158, SKL:0.124, THETA:0.120, ENJ:0.090, FIL:0.086, STORJ:0.084, NEAR:0.067, BEL:0.057, BTC:0.057, ZIL:0.056
2025-10-09 16:06:17 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SKL:0.143, STORJ:0.128, FIL:0.112, KSM:0.090, AXS:0.089, VET:0.084, ENJ:0.072, THETA:0.069, KAVA:0.059, TRB:0.052
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> FIL:0.192, BAT:0.109, AXS:0.100, RLC:0.096, KAVA:0.083, ENJ:0.081, THETA:0.069, BEL:0.068, STORJ:0.053, TRB:0.049
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> FIL:0.216, KNC:0.115, STORJ:0.084, BAT:0.078, KAVA:0.073, FLM:0.072, ZIL:0.071, NEO:0.066, VET:0.062, ADA:0.062
