2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BNB:0.095, XMR:0.053, IOST:0.042, ALPHA:0.042, ZEN:0.040, SXP:0.036, ETH:0.036, AAVE:0.036, QTUM:0.036, DOGE:-0.057, BCH:-0.073, ATOM:-0.354
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SXP:0.121, BNB:0.100, DOGE:0.078, SOL:0.077, BAT:0.048, BTC:-0.058, ETC:-0.062, BCH:-0.065, LTC:-0.069, KSM:-0.071, DOT:-0.071, XMR:-0.082
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.093, DOT:0.091, SOL:0.083, BNB:0.069, RUNE:0.068, EGLD:-0.056, IOST:-0.056, UNI:-0.067, GRT:-0.070, ICX:-0.080, ZEN:-0.083, AXS:-0.084
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> UNI:0.153, ADA:0.085, SUSHI:0.078, 1INCH:0.067, CRV:0.065, FLM:-0.056, ATOM:-0.057, ZEC:-0.058, SXP:-0.060, FIL:-0.064, NEO:-0.069, XMR:-0.088
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> IOST:0.143, NEO:0.102, RLC:0.073, ZRX:0.067, LRC:0.050, DOT:-0.049, ADA:-0.059, SUSHI:-0.063, RUNE:-0.063, XMR:-0.066, UNI:-0.068, THETA:-0.098
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SOL:0.244, KSM:0.098, ATOM:0.088, ZRX:0.061, XRP:0.048, ETH:-0.049, BEL:-0.050, STORJ:-0.050, TRB:-0.051, XMR:-0.051, RLC:-0.052, BTC:-0.056
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> RUNE:0.440, XMR:0.047, QTUM:-0.038, BEL:-0.039, BNB:-0.039, RLC:-0.040, TRX:-0.040, FLM:-0.040, KAVA:-0.042, BTC:-0.042, ZEN:-0.046, STORJ:-0.046
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ALPHA:0.056, DOGE:0.054, COMP:0.051, BEL:0.047, ICX:0.042, TRB:0.039, STORJ:0.038, NEAR:0.038, GRT:0.035, RUNE:-0.052, XMR:-0.144, IOST:-0.305
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> NEAR:0.132, ENJ:0.114, 1INCH:0.110, AXS:0.087, KAVA:0.071, TRB:0.053, RUNE:-0.046, DOGE:-0.047, IOST:-0.048, COMP:-0.049, THETA:-0.054, SOL:-0.088
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BAT:0.087, RSR:0.083, FIL:0.076, 1INCH:0.075, QTUM:0.072, RUNE:-0.072, KSM:-0.072, DOGE:-0.072, LRC:-0.072, BNB:-0.072, TRB:-0.072, AVAX:-0.072
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> STORJ:0.114, FIL:0.080, ALGO:0.068, XLM:0.059, RLC:0.058, LRC:0.048, IOST:-0.059, ENJ:-0.064, ALPHA:-0.068, NEAR:-0.077, 1INCH:-0.087, SOL:-0.118
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AAVE:0.120, XMR:0.086, ALPHA:0.080, YFI:0.058, FLM:0.054, BAT:0.053, ZIL:-0.056, ALGO:-0.060, AXS:-0.061, KSM:-0.087, XLM:-0.093, ADA:-0.094
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BNB:0.045, COMP:0.045, BCH:0.044, ZEN:0.043, ETH:0.040, LRC:0.040, AVAX:0.040, BTC:0.039, VET:0.038, XRP:0.038, EGLD:-0.053, ADA:-0.435
2025-10-10 17:00:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> CRV:0.112, SKL:0.096, THETA:0.081, KSM:0.067, KAVA:0.066, ENJ:0.058, 1INCH:-0.059, DOGE:-0.060, SUSHI:-0.066, ETH:-0.067, SOL:-0.069, BNB:-0.098
